"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - K1";"KV2021 - K2";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ";"KV2021 - Å1";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - 0";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ"
"101023";"101023";"5";"1";"1";"7612";"5243";"65";"7";"5171";"621";"754";"533";"48";"562";"129";"14";"30";"9";"5";"4";"21";"-";"79";"35";"8";"19";"30";"333";"1";"0";"1669";"223";"-";"-";"10";"17";"-";"6";"11";"-";"7612";"5243";"65";"7";"5171";"621";"754";"533";"48";"562";"129";"14";"30";"9";"5";"4";"21";"-";"79";"35";"8";"19";"30";"333";"1";"0";"1669";"223";"0";"10";"17";"-";"6";"11"
"101024";"101024";"5";"1";"1";"7887";"5257";"65";"13";"5179";"762";"601";"438";"59";"679";"82";"7";"43";"13";"7";"4";"33";"-";"40";"66";"6";"21";"28";"285";"1";"6";"1788";"178";"-";"-";"7";"12";"-";"3";"9";"-";"7887";"5257";"65";"13";"5179";"762";"601";"438";"59";"679";"82";"7";"43";"13";"7";"4";"33";"-";"40";"66";"6";"21";"28";"285";"1";"6";"1788";"178";"1";"7";"12";"-";"3";"9"
"101025";"101025";"5";"1";"1";"11476";"7136";"93";"5";"7038";"761";"1000";"447";"68";"979";"106";"16";"44";"15";"11";"2";"49";"-";"97";"62";"22";"29";"53";"316";"0";"8";"2618";"281";"-";"-";"10";"23";"-";"8";"8";"-";"11476";"7136";"93";"5";"7038";"761";"1000";"447";"68";"979";"106";"16";"44";"15";"11";"2";"49";"-";"97";"62";"22";"29";"53";"316";"0";"8";"2618";"281";"5";"10";"23";"-";"8";"8"
"101027";"101027";"6";"1";"1";"12961";"7080";"125";"29";"6926";"1018";"853";"490";"135";"806";"132";"15";"56";"29";"8";"6";"58";"-";"86";"143";"29";"10";"48";"355";"4";"9";"2302";"270";"-";"-";"13";"21";"-";"15";"13";"-";"12961";"7080";"125";"29";"6926";"1018";"853";"490";"135";"806";"132";"15";"56";"29";"8";"6";"58";"-";"86";"143";"29";"10";"48";"355";"4";"9";"2302";"270";"2";"13";"21";"-";"15";"13"
"101028";"101028";"6";"1";"1";"8482";"4771";"80";"11";"4680";"1136";"442";"495";"114";"514";"76";"13";"45";"35";"7";"2";"29";"-";"31";"139";"12";"7";"22";"272";"4";"6";"1136";"92";"-";"-";"8";"23";"-";"10";"7";"-";"8482";"4771";"80";"11";"4680";"1136";"442";"495";"114";"514";"76";"13";"45";"35";"7";"2";"29";"-";"31";"139";"12";"7";"22";"272";"4";"6";"1136";"92";"3";"8";"23";"-";"10";"7"
"101029";"101029";"6";"1";"1";"5055";"2687";"45";"11";"2631";"710";"246";"276";"89";"300";"64";"4";"17";"11";"5";"2";"22";"-";"20";"84";"1";"1";"8";"140";"1";"4";"542";"50";"-";"-";"4";"20";"-";"2";"6";"-";"5055";"2687";"45";"11";"2631";"710";"246";"276";"89";"300";"64";"4";"17";"11";"5";"2";"22";"-";"20";"84";"1";"1";"8";"140";"1";"4";"542";"50";"2";"4";"20";"-";"2";"6"
"101030";"101030";"6";"1";"1";"11291";"6559";"122";"22";"6415";"1025";"788";"436";"123";"725";"135";"22";"42";"27";"12";"6";"37";"-";"71";"111";"15";"11";"49";"331";"2";"5";"2140";"233";"-";"-";"15";"38";"-";"8";"8";"-";"11291";"6559";"122";"22";"6415";"1025";"788";"436";"123";"725";"135";"22";"42";"27";"12";"6";"37";"-";"71";"111";"15";"11";"49";"331";"2";"5";"2140";"233";"0";"15";"38";"-";"8";"8"
"101031";"101031";"7";"1";"1";"4190";"2890";"37";"7";"2846";"720";"263";"460";"65";"336";"60";"8";"20";"10";"2";"1";"7";"-";"25";"75";"3";"5";"9";"151";"1";"0";"556";"54";"-";"-";"2";"7";"-";"4";"2";"-";"4190";"2890";"37";"7";"2846";"720";"263";"460";"65";"336";"60";"8";"20";"10";"2";"1";"7";"-";"25";"75";"3";"5";"9";"151";"1";"0";"556";"54";"0";"2";"7";"-";"4";"2"
"101032";"101032";"7";"1";"1";"4470";"1487";"23";"25";"1439";"343";"175";"76";"24";"156";"10";"2";"5";"8";"1";"1";"35";"-";"11";"44";"0";"2";"3";"28";"2";"2";"481";"20";"-";"-";"0";"6";"-";"1";"2";"-";"4470";"1487";"23";"25";"1439";"343";"175";"76";"24";"156";"10";"2";"5";"8";"1";"1";"35";"-";"11";"44";"0";"2";"3";"28";"2";"2";"481";"20";"1";"0";"6";"-";"1";"2"
"101033";"101033";"7";"1";"1";"8083";"5177";"75";"7";"5095";"1073";"592";"666";"141";"608";"123";"9";"31";"31";"6";"1";"15";"-";"53";"129";"7";"6";"11";"369";"1";"2";"1057";"123";"-";"-";"9";"18";"-";"8";"4";"-";"8083";"5177";"75";"7";"5095";"1073";"592";"666";"141";"608";"123";"9";"31";"31";"6";"1";"15";"-";"53";"129";"7";"6";"11";"369";"1";"2";"1057";"123";"2";"9";"18";"-";"8";"4"
