"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"95";"285";"430";"2";"48";"8867";"285";"2";"8867";"430";"48";"1156";"1156";"0";"1";"0";"430002";"1156";"430002";"430002"
"96";"285";"151";"9";"20";"8554";"285";"9";"8554";"151";"20";"3457";"3457";"0";"1";"0";"151009";"3457";"151009";"151009"
"97";"285";"621";"14";"60";"9400";"285";"14";"9400";"621";"60";"5726";"5726";"0";"1";"0";"621014";"5726";"621014";"621014"
"98";"285";"101";"17";"4";"9778";"285";"17";"9778";"101";"4";"17201";"17201";"0";"1";"0";"101017";"17201";"101017";"101017"
"99";"285";"810";"50";"86";"9245";"285";"50";"9245";"810";"86";"1615";"1615";"0";"1";"0";"810050";"1615";"810050";"810050"
"100";"285";"851";"47";"91";"9893";"285";"47";"9893";"851";"91";"5284";"5284";"0";"1";"0";"851047";"5284";"851047";"851047"
"101";"285";"573";"15";"54";"8928";"285";"15";"8928";"573";"54";"1339";"1339";"0";"1";"0";"573015";"1339";"573015";"573015"
"102";"285";"479";"5";"47";"8852";"285";"5";"8852";"479";"47";"3345";"3345";"0";"1";"0";"479005";"3345";"479005";"479005"
"103";"285";"787";"26";"87";"9311";"285";"26";"9311";"787";"87";"1441";"1441";"0";"1";"0";"787026";"1441";"787026";"787026"
"104";"285";"751";"62";"63";"9994";"285";"62";"9994";"751";"63";"3542";"3542";"0";"1";"0";"751062";"3542";"751062";"751062"
"105";"285";"326";"5";"38";"9473";"285";"5";"9473";"326";"38";"1442";"1442";"0";"1";"0";"326005";"1442";"326005";"326005"
"106";"285";"390";"13";"31";"9459";"285";"13";"9459";"390";"31";"927";"927";"0";"1";"0";"390013";"927";"390013";"390013"
"107";"285";"510";"18";"61";"9714";"285";"18";"9714";"510";"61";"1313";"1313";"0";"1";"0";"510018";"1313";"510018";"510018"
"108";"285";"607";"5";"58";"8969";"285";"5";"8969";"607";"58";"4619";"4619";"0";"1";"0";"607005";"4619";"607005";"607005"
"109";"285";"326";"14";"38";"9933";"285";"14";"9933";"326";"38";"1336";"1336";"0";"1";"0";"326014";"1336";"326014";"326014"
"110";"285";"573";"22";"54";"8931";"285";"22";"8931";"573";"54";"1000";"1000";"0";"1";"0";"573022";"1000";"573022";"573022"
"111";"285";"240";"4";"25";"8611";"285";"4";"8611";"240";"25";"1637";"1637";"0";"1";"0";"240004";"1637";"240004";"240004"
"112";"285";"173";"1";"14";"8505";"285";"1";"8505";"173";"14";"6157";"6157";"0";"1";"0";"173001";"6157";"173001";"173001"
"113";"285";"791";"15";"76";"9560";"285";"15";"9560";"791";"76";"2673";"2673";"0";"1";"0";"791015";"2673";"791015";"791015"
"114";"285";"265";"2";"36";"8705";"285";"2";"8705";"265";"36";"4675";"4675";"0";"1";"0";"265002";"4675";"265002";"265002"
"115";"285";"756";"10";"79";"10011";"285";"10";"10011";"756";"79";"2459";"2459";"0";"1";"0";"756010";"2459";"756010";"756010"
"116";"285";"260";"1";"24";"9963";"285";"1";"9963";"260";"24";"8760";"8760";"0";"1";"0";"260001";"8760";"260001";"260001"
